time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-12 00:00:00+00:00,3,2,0,0
2022-11-13 00:00:00+00:00,3,2,0,0
2022-11-14 00:00:00+00:00,4,3,7,2
2022-11-15 00:00:00+00:00,1,1,0,0
2022-11-16 00:00:00+00:00,3,3,5,2
2022-11-17 00:00:00+00:00,3,2,1,1
2022-11-18 00:00:00+00:00,4,2,0,0
2022-11-19 00:00:00+00:00,3,2,22,3
2022-11-20 00:00:00+00:00,3,2,0,0
2022-11-21 00:00:00+00:00,5,3,3,2
2022-11-22 00:00:00+00:00,3,2,25,5
2022-11-23 00:00:00+00:00,3,2,15,3
2022-11-24 00:00:00+00:00,4,3,27,4
2022-11-25 00:00:00+00:00,4,2,7,4
2022-11-26 00:00:00+00:00,3,2,0,0
2022-11-27 00:00:00+00:00,3,2,9,1
2022-11-28 00:00:00+00:00,3,2,0,0
2022-11-29 00:00:00+00:00,3,2,3,1
2022-11-30 00:00:00+00:00,1,1,0,0
2022-12-01 00:00:00+00:00,1,1,8,2
2022-12-02 00:00:00+00:00,2,1,6,4
2022-12-03 00:00:00+00:00,2,2,13,3
2022-12-04 00:00:00+00:00,1,1,0,0
2022-12-05 00:00:00+00:00,3,2,5,3
2022-12-06 00:00:00+00:00,3,2,24,1
2022-12-07 00:00:00+00:00,9,5,15,2
2022-12-08 00:00:00+00:00,6,4,3,1
2022-12-09 00:00:00+00:00,4,3,10,3
2022-12-10 00:00:00+00:00,5,3,5,1
2022-12-11 00:00:00+00:00,6,3,1,1
2022-12-12 00:00:00+00:00,3,2,14,5
2022-12-13 00:00:00+00:00,3,2,18,1
2022-12-14 00:00:00+00:00,3,2,8,4
2022-12-15 00:00:00+00:00,1,1,4,2
2022-12-16 00:00:00+00:00,6,4,8,2
2022-12-17 00:00:00+00:00,3,2,12,2
2022-12-18 00:00:00+00:00,4,2,0,0
2022-12-19 00:00:00+00:00,3,2,3,1
2022-12-20 00:00:00+00:00,3,2,10,1
2022-12-21 00:00:00+00:00,3,2,7,2
2022-12-22 00:00:00+00:00,3,2,8,2
2022-12-23 00:00:00+00:00,1,1,0,0
2022-12-24 00:00:00+00:00,3,2,1,1
2022-12-25 00:00:00+00:00,4,2,0,0
2022-12-26 00:00:00+00:00,1,1,0,0
2022-12-27 00:00:00+00:00,1,1,32,2
2022-12-28 00:00:00+00:00,5,3,0,0
2022-12-29 00:00:00+00:00,4,3,0,0
2022-12-30 00:00:00+00:00,4,3,4,1
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,4,2,0,0
2023-01-02 00:00:00+00:00,3,2,0,0
2023-01-03 00:00:00+00:00,7,4,2,1
2023-01-04 00:00:00+00:00,3,2,16,3
2023-01-05 00:00:00+00:00,2,2,1,1
2023-01-06 00:00:00+00:00,1,1,8,3
2023-01-07 00:00:00+00:00,2,1,0,0
2023-01-08 00:00:00+00:00,1,1,0,0
2023-01-09 00:00:00+00:00,1,1,3,2
2023-01-10 00:00:00+00:00,5,3,5,4
2023-01-11 00:00:00+00:00,5,3,2,2
2023-01-12 00:00:00+00:00,4,3,5,3
2023-01-13 00:00:00+00:00,4,2,5,2
2023-01-14 00:00:00+00:00,3,2,7,2
2023-01-15 00:00:00+00:00,3,2,1,1
2023-01-16 00:00:00+00:00,3,2,8,2
2023-01-17 00:00:00+00:00,5,3,11,2
2023-01-18 00:00:00+00:00,3,2,6,4
2023-01-19 00:00:00+00:00,5,3,2,1
2023-01-20 00:00:00+00:00,4,3,0,0
2023-01-21 00:00:00+00:00,4,3,0,0
2023-01-22 00:00:00+00:00,4,3,7,2
2023-01-23 00:00:00+00:00,3,2,1,1
2023-01-24 00:00:00+00:00,5,3,41,8
2023-01-25 00:00:00+00:00,4,2,24,4
